"time","p_L","p_A","p_M","pi_t","avg_vulnerability","n_disasters","disaster_severity","n_migrations","scenario","replication"
68,0.05,0.44,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
69,0.07,0.42,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
70,0.03,0.46,0.51,0.0273467867961829,0,4,0,0,"Baseline",1
71,0.03,0.46,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
72,0.05,0.44,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
73,0.06,0.43,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
74,0.03,0.46,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
75,0.05,0.44,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
76,0.06,0.43,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
77,0.06,0.43,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
78,0.05,0.44,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
79,0.08,0.41,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
80,0.05,0.44,0.51,0.0333316865338533,0,4,0,0,"Baseline",1
81,0.06,0.43,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
82,0.05,0.44,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
83,0.09,0.4,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
84,0.09,0.4,0.51,0.0405717584230923,0,4,0,0,"Baseline",1
85,0.08,0.41,0.51,0.0405717584230923,0,4,0,0,"Baseline",1
86,0.06,0.43,0.51,0.0333316865338533,0,4,0,0,"Baseline",1
87,0.04,0.45,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
88,0.05,0.44,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
89,0.05,0.44,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
90,0.08,0.41,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
91,0.11,0.38,0.51,0.0333316865338533,0,4,0,0,"Baseline",1
92,0.07,0.42,0.51,0.0597991519693596,0,4,0,0,"Baseline",1
93,0.08,0.41,0.51,0.0273467867961829,0,4,0,0,"Baseline",1
94,0.11,0.38,0.51,0.0333316865338533,0,4,0,0,"Baseline",1
95,0.11,0.38,0.51,0.0597991519693596,0,4,0,0,"Baseline",1
96,0.11,0.38,0.51,0.0597991519693596,0,4,0,0,"Baseline",1
97,0.12,0.37,0.51,0.0597991519693596,0,4,0,0,"Baseline",1
98,0.13,0.36,0.51,0.0723579633354468,0,4,0,0,"Baseline",1
99,0.11,0.38,0.51,0.0873094026386597,0,4,0,0,"Baseline",1
100,0.1,0.39,0.51,0.0597991519693596,0,4,0,0,"Baseline",1
101,0.03,0.46,0.51,0.0493042559653722,0,4,0,0,"Baseline",1
102,0.05,0.44,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
103,0.03,0.46,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
104,0.03,0.46,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
105,0.04,0.45,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
106,0.03,0.46,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
107,0.02,0.47,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
108,0.05,0.44,0.51,0.0100325551860134,0,4,0,0,"Baseline",1
109,0.08,0.41,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
110,0.09,0.4,0.51,0.0333316865338533,0,4,0,0,"Baseline",1
111,0.06,0.43,0.51,0.0405717584230923,0,4,0,0,"Baseline",1
112,0.06,0.43,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
113,0.05,0.44,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
114,0.09,0.4,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
115,0.1,0.39,0.51,0.0405717584230923,0,4,0,0,"Baseline",1
116,0.06,0.43,0.51,0.0493042559653722,0,4,0,0,"Baseline",1
117,0.07,0.42,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
118,0.07,0.42,0.51,0.0273467867961829,0,4,0,0,"Baseline",1
119,0.06,0.43,0.51,0.0273467867961829,0,4,0,0,"Baseline",1
120,0.05,0.44,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
121,0.07,0.42,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
122,0.1,0.39,0.51,0.0273467867961829,0,4,0,0,"Baseline",1
123,0.09,0.4,0.51,0.0493042559653722,0,4,0,0,"Baseline",1
124,0.04,0.45,0.51,0.0405717584230923,0,4,0,0,"Baseline",1
125,0.04,0.45,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
126,0.06,0.43,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
127,0.06,0.43,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
128,0.05,0.44,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
129,0.05,0.44,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
130,0.07,0.42,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
131,0.04,0.45,0.51,0.0273467867961829,0,4,0,0,"Baseline",1
132,0.04,0.45,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
133,0.03,0.46,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
134,0.02,0.47,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
135,0.02,0.47,0.51,0.0100325551860134,0,4,0,0,"Baseline",1
136,0.03,0.46,0.51,0.0100325551860134,0,4,0,0,"Baseline",1
137,0.04,0.45,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
138,0.06,0.43,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
139,0.04,0.45,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
140,0.05,0.44,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
141,0.06,0.43,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
142,0.06,0.43,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
143,0.09,0.4,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
144,0.12,0.37,0.51,0.0405717584230923,0,4,0,0,"Baseline",1
145,0.1,0.39,0.51,0.0723579633354468,0,4,0,0,"Baseline",1
146,0.09,0.4,0.51,0.0493042559653722,0,4,0,0,"Baseline",1
147,0.08,0.41,0.51,0.0405717584230923,0,4,0,0,"Baseline",1
148,0.09,0.4,0.51,0.0333316865338533,0,4,0,0,"Baseline",1
149,0.08,0.41,0.51,0.0405717584230923,0,4,0,0,"Baseline",1
150,0.07,0.42,0.51,0.0333316865338533,0,5,0.0264206764610985,0,"Baseline",1
151,0.06,0.43,0.51,0.0273467867961829,0,5,0,0,"Baseline",1
152,0.07,0.42,0.51,0.0224115964180325,0,5,0,0,"Baseline",1
153,0.07,0.42,0.51,0.0273467867961829,0,5,0,0,"Baseline",1
154,0.06,0.43,0.51,0.0273467867961829,0,5,0,0,"Baseline",1
155,0.05,0.44,0.51,0.0224115964180325,0,5,0,0,"Baseline",1
156,0.05,0.44,0.51,0.0183502417056918,0,5,0,0,"Baseline",1
157,0.06,0.43,0.51,0.0183502417056918,0,5,0,0,"Baseline",1
158,0.06,0.43,0.51,0.0224115964180325,0,5,0,0,"Baseline",1
159,0.05,0.44,0.51,0.0224115964180325,0,5,0,0,"Baseline",1
160,0.08,0.41,0.51,0.0183502417056918,0,5,0,0,"Baseline",1
161,0.06,0.43,0.51,0.0333316865338533,0,5,0,0,"Baseline",1
162,0.06,0.43,0.51,0.0224115964180325,0,5,0,0,"Baseline",1
163,0.08,0.41,0.51,0.0224115964180325,0,5,0,0,"Baseline",1
164,0.06,0.43,0.51,0.0333316865338533,0,5,0,0,"Baseline",1
165,0.09,0.4,0.51,0.0224115964180325,0,5,0,0,"Baseline",1
166,0.05,0.44,0.51,0.0405717584230923,0,5,0,0,"Baseline",1
167,0.03,0.46,0.51,0.0183502417056918,0,5,0,0,"Baseline",1
168,0.04,0.45,0.51,0.0122760250714682,0,5,0,0,"Baseline",1
